TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0032026	response to magnesium ion	0.000399545767055387	-7.82518223848002	19	2	0.0769230769230769	26	16543	4982,7057	TNFRSF11B,THBS1	TNFRSF11B,THBS1
GO:0010951	negative regulation of endopeptidase activity	0.000413962180738057	-7.78973593918596	228	4	0.153846153846154	26	16543	6590,5266,4102,7057	SLPI,PI3,MAGEA3,THBS1	SLPI,PI3,MAGEA3,THBS1
GO:0010466	negative regulation of peptidase activity	0.000494598828821747	-7.61176357080991	239	4	0.153846153846154	26	16543	6590,5266,4102,7057	SLPI,PI3,MAGEA3,THBS1	SLPI,PI3,MAGEA3,THBS1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	0.000588860114248347	-7.43732189955124	23	2	0.0769230769230769	26	16543	3489,3486	IGFBP6,IGFBP3	IGFBP6,IGFBP3
GO:0006954	inflammatory response	0.000640560478254954	-7.3531670175801	457	5	0.192307692307692	26	16543	4982,7130,2921,7057,1999	TNFRSF11B,TNFAIP6,CXCL3,THBS1,ELF3	TNFRSF11B,TNFAIP6,CXCL3,THBS1,ELF3
GO:0048660	regulation of smooth muscle cell proliferation	0.000701142808767075	-7.2627989701844	112	3	0.115384615384615	26	16543	7052,3486,7057	TGM2,IGFBP3,THBS1	TGM2,IGFBP3,THBS1
GO:0043410	positive regulation of MAPK cascade	0.000799786395665428	-7.13116587136685	480	5	0.192307692307692	26	16543	2861,4982,7039,3486,7057	GPR37,TNFRSF11B,TGFA,IGFBP3,THBS1	GPR37,TNFRSF11B,TGFA,IGFBP3,THBS1
GO:0043277	apoptotic cell clearance	0.000875559440934771	-7.04064751484256	28	2	0.0769230769230769	26	16543	7052,7057	TGM2,THBS1	TGM2,THBS1
GO:1903959	regulation of anion transmembrane transport	0.00107396098997207	-6.83640160574129	31	2	0.0769230769230769	26	16543	55107,7057	ANO1,THBS1	ANO1,THBS1
GO:0023051	regulation of signaling	0.00107426896881089	-6.83611487774025	3039	12	0.461538461538462	26	16543	2861,3489,6447,7039,4102,4982,481,7052,11030,55107,3486,7057	GPR37,IGFBP6,SCG5,TGFA,MAGEA3,TNFRSF11B,ATP1B1,TGM2,RBPMS,ANO1,IGFBP3,THBS1	GPR37,IGFBP6,SCG5,TGFA,MAGEA3,TNFRSF11B,ATP1B1,TGM2,RBPMS,ANO1,IGFBP3,THBS1
GO:0045861	negative regulation of proteolysis	0.00118528762964911	-6.73776980840581	302	4	0.153846153846154	26	16543	6590,5266,4102,7057	SLPI,PI3,MAGEA3,THBS1	SLPI,PI3,MAGEA3,THBS1
GO:1903318	negative regulation of protein maturation	0.00121711267024017	-6.71127388894966	33	2	0.0769230769230769	26	16543	4102,7057	MAGEA3,THBS1	MAGEA3,THBS1
GO:0010955	negative regulation of protein processing	0.00121711267024017	-6.71127388894966	33	2	0.0769230769230769	26	16543	4102,7057	MAGEA3,THBS1	MAGEA3,THBS1
GO:0043086	negative regulation of catalytic activity	0.00141891639362778	-6.55786180175936	819	6	0.230769230769231	26	16543	6590,6447,53836,5266,4102,7057	SLPI,SCG5,GPR87,PI3,MAGEA3,THBS1	SLPI,SCG5,GPR87,PI3,MAGEA3,THBS1
GO:0010754	negative regulation of cGMP-mediated signaling	0.00157166173004479	-6.45562179258049	1	1	0.0384615384615385	26	16543	7057	THBS1	THBS1
GO:0002605	negative regulation of dendritic cell antigen processing and presentation	0.00157166173004479	-6.45562179258049	1	1	0.0384615384615385	26	16543	7057	THBS1	THBS1
GO:0042127	regulation of cell proliferation	0.00159534917862823	-6.44066264593493	1502	8	0.307692307692308	26	16543	4680,3489,2921,7039,4982,7052,7057,3486	CEACAM6,IGFBP6,CXCL3,TGFA,TNFRSF11B,TGM2,THBS1,IGFBP3	CEACAM6,IGFBP6,CXCL3,TGFA,TNFRSF11B,TGM2,THBS1,IGFBP3
