TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044421	extracellular region part	1.62697755247964e-06	-13.3287865267005	3790	17	0.653846153846154	26	17744	4680,7130,3855,3489,2921,7039,6590,481,7032,55107,5266,7057,667,4982,7052,1048,3486	CEACAM6,TNFAIP6,KRT7,IGFBP6,CXCL3,TGFA,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,DST,TNFRSF11B,TGM2,CEACAM5,IGFBP3	CEACAM6,TNFAIP6,KRT7,IGFBP6,CXCL3,TGFA,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,DST,TNFRSF11B,TGM2,CEACAM5,IGFBP3
GO:0005576	extracellular region	2.87334648901414e-06	-12.7600331834241	4466	18	0.692307692307692	26	17744	4680,7130,3855,3489,2921,7039,6590,481,7032,55107,5266,7057,667,6447,4982,7052,1048,3486	CEACAM6,TNFAIP6,KRT7,IGFBP6,CXCL3,TGFA,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,DST,SCG5,TNFRSF11B,TGM2,CEACAM5,IGFBP3	CEACAM6,TNFAIP6,KRT7,IGFBP6,CXCL3,TGFA,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,DST,SCG5,TNFRSF11B,TGM2,CEACAM5,IGFBP3
GO:0005615	extracellular space	1.59171459223526e-05	-11.0481136698541	1411	10	0.384615384615385	26	17744	4680,7130,3489,2921,7039,6590,4982,7032,7057,3486	CEACAM6,TNFAIP6,IGFBP6,CXCL3,TGFA,SLPI,TNFRSF11B,TFF2,THBS1,IGFBP3	CEACAM6,TNFAIP6,IGFBP6,CXCL3,TGFA,SLPI,TNFRSF11B,TFF2,THBS1,IGFBP3
GO:0031012	extracellular matrix	8.06154763997054e-05	-9.42581991199951	514	6	0.230769230769231	26	17744	667,6590,4982,7052,5266,7057	DST,SLPI,TNFRSF11B,TGM2,PI3,THBS1	DST,SLPI,TNFRSF11B,TGM2,PI3,THBS1
GO:0044459	plasma membrane part	0.000129982465046867	-8.94811100086126	2613	12	0.461538461538462	26	17744	2861,667,4680,5097,7039,53836,4982,7052,481,1048,55107,7057	GPR37,DST,CEACAM6,PCDH1,TGFA,GPR87,TNFRSF11B,TGM2,ATP1B1,CEACAM5,ANO1,THBS1	GPR37,DST,CEACAM6,PCDH1,TGFA,GPR87,TNFRSF11B,TGM2,ATP1B1,CEACAM5,ANO1,THBS1
GO:0016323	basolateral plasma membrane	0.000181930167219445	-8.61188764111431	197	4	0.153846153846154	26	17744	667,1048,481,7039	DST,CEACAM5,ATP1B1,TGFA	DST,CEACAM5,ATP1B1,TGFA
GO:0070062	extracellular exosome	0.000206184825517884	-8.48673758017626	2739	12	0.461538461538462	26	17744	667,3855,3489,6590,1048,7032,7052,481,55107,5266,7057,3486	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3
GO:1903561	extracellular vesicle	0.000217436540919727	-8.43360351589379	2754	12	0.461538461538462	26	17744	667,3855,3489,6590,1048,7032,7052,481,55107,5266,7057,3486	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3
GO:0043230	extracellular organelle	0.000218205268292708	-8.43007434052722	2755	12	0.461538461538462	26	17744	667,3855,3489,6590,1048,7032,7052,481,55107,5266,7057,3486	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3	DST,KRT7,IGFBP6,SLPI,CEACAM5,TFF2,TGM2,ATP1B1,ANO1,PI3,THBS1,IGFBP3
GO:0031226	intrinsic component of plasma membrane	0.000494456360604864	-7.61205166033089	1717	9	0.346153846153846	26	17744	2861,4680,5097,7039,53836,4982,7052,481,1048	GPR37,CEACAM6,PCDH1,TGFA,GPR87,TNFRSF11B,TGM2,ATP1B1,CEACAM5	GPR37,CEACAM6,PCDH1,TGFA,GPR87,TNFRSF11B,TGM2,ATP1B1,CEACAM5
GO:0031982	vesicle	0.000521032696256774	-7.55969776144918	4013	14	0.538461538461538	26	17744	667,3855,3489,6447,7039,6590,1048,481,7032,7052,55107,5266,7057,3486	DST,KRT7,IGFBP6,SCG5,TGFA,SLPI,CEACAM5,ATP1B1,TFF2,TGM2,ANO1,PI3,THBS1,IGFBP3	DST,KRT7,IGFBP6,SCG5,TGFA,SLPI,CEACAM5,ATP1B1,TFF2,TGM2,ANO1,PI3,THBS1,IGFBP3
GO:0071575	integral component of external side of plasma membrane	0.00146528403966333	-6.52570617157689	1	1	0.0384615384615385	26	17744	1048	CEACAM5	CEACAM5
GO:0031673	H zone	0.00146528403966333	-6.52570617157689	1	1	0.0384615384615385	26	17744	667	DST	DST
