TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
functioning	functioning	0.00018203402393116	-8.61131694368275	1862	10	0.384615384615385	26	17630	2861,5097,6447,8821,6590,4982,7052,1048,7057,3486	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	0.00018203402393116	-8.61131694368275	1862	10	0.384615384615385	26	17630	2861,5097,6447,8821,6590,4982,7052,1048,7057,3486	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3
adrenal_gland	adrenal_gland	0.000195075477113391	-8.54212401216979	2706	12	0.461538461538462	26	17630	2861,4680,5097,6447,8821,6590,4982,7052,1048,55107,3486,7057	GPR37,CEACAM6,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,ANO1,IGFBP3,THBS1	GPR37,CEACAM6,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,ANO1,IGFBP3,THBS1
bone-humerus-chondrosarcoma	bone-humerus-chondrosarcoma	0.000860185054353187	-7.05836301238405	128	3	0.115384615384615	26	17630	4680,4102,7057	CEACAM6,MAGEA3,THBS1	CEACAM6,MAGEA3,THBS1
adrenal_cortical_carcinoma	adrenal_cortical_carcinoma	0.0011107531732348	-6.80271695931255	2326	10	0.384615384615385	26	17630	2861,5097,6447,8821,6590,4982,7052,1048,7057,3486	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3	GPR37,PCDH1,SCG5,INPP4B,SLPI,TNFRSF11B,TGM2,CEACAM5,THBS1,IGFBP3
humerus	humerus	0.00885343086180007	-4.72695022708612	564	4	0.153846153846154	26	17630	2861,4680,4102,7057	GPR37,CEACAM6,MAGEA3,THBS1	GPR37,CEACAM6,MAGEA3,THBS1
skin-hand-carcinoma-squamous_cell_carcinoma	skin-hand-carcinoma-squamous_cell_carcinoma	0.0232531486737128	-3.7613147292918	420	3	0.115384615384615	26	17630	667,1048,8821	DST,CEACAM5,INPP4B	DST,CEACAM5,INPP4B
kidney-carcinoma-papillary_renal_cell_carcinoma	kidney-carcinoma-papillary_renal_cell_carcinoma	0.0283086681813991	-3.56458722506952	6598	15	0.576923076923077	26	17630	667,2861,4680,5097,7130,7039,53836,8821,481,1048,4105,55107,5266,7057,1999	DST,GPR37,CEACAM6,PCDH1,TNFAIP6,TGFA,GPR87,INPP4B,ATP1B1,CEACAM5,MAGEA6,ANO1,PI3,THBS1,ELF3	DST,GPR37,CEACAM6,PCDH1,TNFAIP6,TGFA,GPR87,INPP4B,ATP1B1,CEACAM5,MAGEA6,ANO1,PI3,THBS1,ELF3
papillary_renal_cell_carcinoma	papillary_renal_cell_carcinoma	0.0283086681813991	-3.56458722506952	6598	15	0.576923076923077	26	17630	667,2861,4680,5097,7130,7039,53836,8821,481,1048,4105,55107,5266,7057,1999	DST,GPR37,CEACAM6,PCDH1,TNFAIP6,TGFA,GPR87,INPP4B,ATP1B1,CEACAM5,MAGEA6,ANO1,PI3,THBS1,ELF3	DST,GPR37,CEACAM6,PCDH1,TNFAIP6,TGFA,GPR87,INPP4B,ATP1B1,CEACAM5,MAGEA6,ANO1,PI3,THBS1,ELF3
chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	0.0289960111129797	-3.54059700628452	3650	10	0.384615384615385	26	17630	667,5097,3489,6447,53836,8821,7052,1048,55107,3486	DST,PCDH1,IGFBP6,SCG5,GPR87,INPP4B,TGM2,CEACAM5,ANO1,IGFBP3	DST,PCDH1,IGFBP6,SCG5,GPR87,INPP4B,TGM2,CEACAM5,ANO1,IGFBP3
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	0.0289960111129797	-3.54059700628452	3650	10	0.384615384615385	26	17630	667,5097,3489,6447,53836,8821,7052,1048,55107,3486	DST,PCDH1,IGFBP6,SCG5,GPR87,INPP4B,TGM2,CEACAM5,ANO1,IGFBP3	DST,PCDH1,IGFBP6,SCG5,GPR87,INPP4B,TGM2,CEACAM5,ANO1,IGFBP3
ovary-carcinoma-adenocarcinoma	ovary-carcinoma-adenocarcinoma	0.032618557606109	-3.42287390085064	193	2	0.0769230769230769	26	17630	7130,53836	TNFAIP6,GPR87	TNFAIP6,GPR87
large_cell	large_cell	0.0350133458117661	-3.35202598126489	15499	26	1	26	17630	4680,5097,7130,3489,3855,7039,2921,6590,481,7032,55107,5266,7057,1999,2861,667,6447,4102,53836,8821,4982,7052,1048,4105,11030,3486	CEACAM6,PCDH1,TNFAIP6,IGFBP6,KRT7,TGFA,CXCL3,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,ELF3,GPR37,DST,SCG5,MAGEA3,GPR87,INPP4B,TNFRSF11B,TGM2,CEACAM5,MAGEA6,RBPMS,IGFBP3	CEACAM6,PCDH1,TNFAIP6,IGFBP6,KRT7,TGFA,CXCL3,SLPI,ATP1B1,TFF2,ANO1,PI3,THBS1,ELF3,GPR37,DST,SCG5,MAGEA3,GPR87,INPP4B,TNFRSF11B,TGM2,CEACAM5,MAGEA6,RBPMS,IGFBP3
