TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00458	Lactose Intolerance	0.0240592754138518	-3.7272346846891	12	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00457	Lactose Degradation	0.0240592754138518	-3.7272346846891	12	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00467	Trehalose Degradation	0.026050991178268	-3.64769946243682	13	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00462	Inositol Phosphate Metabolism	0.0280406725036989	-3.57409923337657	14	1	0.5	2	992	8821	INPP4B	INPP4B
SMP00582	Joubert syndrome	0.0399360372378324	-3.2204761737979	20	1	0.5	2	992	8821	INPP4B	INPP4B
SMP00463	Phosphatidylinositol Phosphate Metabolism	0.0399360372378324	-3.2204761737979	20	1	0.5	2	992	8821	INPP4B	INPP4B
SMP00674	Anileridine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00411	Hydrocodone Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00689	Dihydromorphine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00687	Naltrexone Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00675	Diphenoxylate Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00417	Sufentanil Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00686	Pentazocine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00404	Ropivacaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00425	Escitalopram Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00679	3-Methylthiofentanyl Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00681	Ethylmorphine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00684	Buprenorphine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00672	Propoxyphene Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00690	Ketobemidone  Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00392	Benzocaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00410	Hydromorphone Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00399	Mepivacaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00678	Methadyl Acetate Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00416	Remifentanil Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00671	Tramadol Action Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00393	Bupivacaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00396	Dibucaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00415	Fentanyl Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00673	Levorphanol Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
SMP00401	Prilocaine Action Pathway	0.05175816216839	-2.96117313621296	26	1	0.5	2	992	481	ATP1B1	ATP1B1
