GeneName,ComparisonName,Log2FoldChange,PValue,AdjustedPValue
ENSG00000223972,RNA_M12e2.vs.RNA_M12WT,1.221354325,0.001313156,0.01874077
ENSG00000227232,RNA_M12e2.vs.RNA_M12WT,-0.030437994,0.917702615,0.959517268
ENSG00000237683,RNA_M12e2.vs.RNA_M12WT,-0.245183805,0.56569999,0.743083542
ENSG00000237094,RNA_M12e2.vs.RNA_M12WT,-0.083729284,0.591788384,0.762298858
ENSG00000250575,RNA_M12e2.vs.RNA_M12WT,-0.025894988,0.966238346,0.984669013
ENSG00000236679,RNA_M12e2.vs.RNA_M12WT,-0.169272757,0.249337063,0.46621835
ENSG00000225972,RNA_M12e2.vs.RNA_M12WT,0.282678462,0.025377472,0.119101299
ENSG00000225630,RNA_M12e2.vs.RNA_M12WT,0.376061671,0.011641217,0.073804113
ENSG00000237973,RNA_M12e2.vs.RNA_M12WT,-0.030578698,0.667090202,0.813252973
ENSG00000229344,RNA_M12e2.vs.RNA_M12WT,-0.585139027,0.000101478,0.003546478
ENSG00000240409,RNA_M12e2.vs.RNA_M12WT,-0.502480368,0.194665443,0.402617651
ENSG00000248527,RNA_M12e2.vs.RNA_M12WT,-0.040594711,0.603755611,0.770967806
ENSG00000198744,RNA_M12e2.vs.RNA_M12WT,-0.078950985,0.326544299,0.545796662
ENSG00000237491,RNA_M12e2.vs.RNA_M12WT,-0.353576344,0.108363453,0.281828203
ENSG00000225880,RNA_M12e2.vs.RNA_M12WT,-1.356855848,0.00501176,0.044300618
ENSG00000228794,RNA_M12e2.vs.RNA_M12WT,-0.231166086,0.057255289,0.193342642
ENSG00000230699,RNA_M12e2.vs.RNA_M12WT,1.674753522,0.02248958,0.110567669
ENSG00000223764,RNA_M12e2.vs.RNA_M12WT,2.00584237,0.000903129,0.014745106
ENSG00000187634,RNA_M12e2.vs.RNA_M12WT,1.696643442,0.011798634,0.074370017
ENSG00000188976,RNA_M12e2.vs.RNA_M12WT,-0.081302469,0.57923518,0.752738012
ENSG00000187961,RNA_M12e2.vs.RNA_M12WT,0.15323927,0.61489462,0.778866094
ENSG00000187583,RNA_M12e2.vs.RNA_M12WT,0.617330855,0.067743756,0.21312752
ENSG00000272512,RNA_M12e2.vs.RNA_M12WT,0.125787503,0.712362691,0.842862387
ENSG00000188290,RNA_M12e2.vs.RNA_M12WT,0.574305862,0.159912517,0.357550821
ENSG00000231702,RNA_M12e2.vs.RNA_M12WT,1.059310659,0.08051882,0.235864301
ENSG00000187608,RNA_M12e2.vs.RNA_M12WT,0.979556889,0.078239722,0.231431643
ENSG00000188157,RNA_M12e2.vs.RNA_M12WT,0.279552293,0.32930357,0.548448353
ENSG00000217801,RNA_M12e2.vs.RNA_M12WT,-0.166837046,0.482167826,0.678551596
ENSG00000237330,RNA_M12e2.vs.RNA_M12WT,-0.397284608,0.254742065,0.471634321
ENSG00000131591,RNA_M12e2.vs.RNA_M12WT,0.680303785,0.056372524,0.191393733
ENSG00000272141,RNA_M12e2.vs.RNA_M12WT,0.747974388,0.26495455,0.483510127
ENSG00000186891,RNA_M12e2.vs.RNA_M12WT,0.056884649,0.880752373,0.940784831
ENSG00000078808,RNA_M12e2.vs.RNA_M12WT,0.803678759,0.002222224,0.026597626
ENSG00000176022,RNA_M12e2.vs.RNA_M12WT,0.603141687,0.000973424,0.015480992
ENSG00000184163,RNA_M12e2.vs.RNA_M12WT,0.145741891,0.829758735,0.911838601
ENSG00000160087,RNA_M12e2.vs.RNA_M12WT,0.199840508,0.130201169,0.316064906
ENSG00000230415,RNA_M12e2.vs.RNA_M12WT,-1.174913281,0.026754263,0.122575339
ENSG00000162572,RNA_M12e2.vs.RNA_M12WT,0.127034592,0.759926639,0.87186129
ENSG00000131584,RNA_M12e2.vs.RNA_M12WT,-0.114839436,0.696344993,0.832891542
ENSG00000169972,RNA_M12e2.vs.RNA_M12WT,0.315962165,0.257286103,0.474493553
ENSG00000127054,RNA_M12e2.vs.RNA_M12WT,-0.193532157,0.413653077,0.622002178
ENSG00000240731,RNA_M12e2.vs.RNA_M12WT,-0.108717479,0.754396294,0.868528582
ENSG00000224051,RNA_M12e2.vs.RNA_M12WT,0.724889683,0.042404726,0.161367055
ENSG00000107404,RNA_M12e2.vs.RNA_M12WT,0.293753483,0.387074412,0.599670433
ENSG00000162576,RNA_M12e2.vs.RNA_M12WT,2.205155733,0.024541105,0.11679473
ENSG00000175756,RNA_M12e2.vs.RNA_M12WT,0.189683235,0.460075346,0.660261572
ENSG00000221978,RNA_M12e2.vs.RNA_M12WT,0.052113194,0.557440646,0.737583651
ENSG00000224870,RNA_M12e2.vs.RNA_M12WT,0.146655275,0.449928974,0.652688076
ENSG00000242485,RNA_M12e2.vs.RNA_M12WT,-0.119911057,0.318927018,0.538483282
ENSG00000272455,RNA_M12e2.vs.RNA_M12WT,0.09668819,0.534860038,0.720816934
ENSG00000225285,RNA_M12e2.vs.RNA_M12WT,0.198159044,0.656159446,0.805422595
ENSG00000179403,RNA_M12e2.vs.RNA_M12WT,0.734787728,0.091746386,0.254662348
ENSG00000215915,RNA_M12e2.vs.RNA_M12WT,1.059554409,0.002011626,0.02495916
ENSG00000160072,RNA_M12e2.vs.RNA_M12WT,0.030167198,0.899325374,0.950271663
ENSG00000197785,RNA_M12e2.vs.RNA_M12WT,0.160017927,0.525003528,0.713308958
ENSG00000160075,RNA_M12e2.vs.RNA_M12WT,0.277846438,0.01568065,0.088739136
ENSG00000215014,RNA_M12e2.vs.RNA_M12WT,0.218972148,0.697521744,0.833691203
ENSG00000228594,RNA_M12e2.vs.RNA_M12WT,1.119853305,0.056355362,0.191368544
ENSG00000272106,RNA_M12e2.vs.RNA_M12WT,-0.099262352,0.625857932,0.785551805
ENSG00000197530,RNA_M12e2.vs.RNA_M12WT,0.460205621,0.275343452,0.493657759
ENSG00000189409,RNA_M12e2.vs.RNA_M12WT,2.060146971,0.014605421,0.084946718
ENSG00000248333,RNA_M12e2.vs.RNA_M12WT,-0.073282445,0.467827432,0.666661727
ENSG00000189339,RNA_M12e2.vs.RNA_M12WT,0.619617108,0.000187517,0.005268988
ENSG00000008128,RNA_M12e2.vs.RNA_M12WT,-0.040859122,0.864234663,0.93245622
ENSG00000268575,RNA_M12e2.vs.RNA_M12WT,0.41450523,0.086003406,0.24562933
ENSG00000215790,RNA_M12e2.vs.RNA_M12WT,0.258844231,0.415103386,0.623211663
ENSG00000008130,RNA_M12e2.vs.RNA_M12WT,0.130319846,0.374066793,0.588093003
ENSG00000078369,RNA_M12e2.vs.RNA_M12WT,0.095545863,0.234785646,0.449895109
ENSG00000169885,RNA_M12e2.vs.RNA_M12WT,0.445848508,0.440842912,0.645152793
ENSG00000178821,RNA_M12e2.vs.RNA_M12WT,-0.039923181,0.87445689,0.938012642
ENSG00000142609,RNA_M12e2.vs.RNA_M12WT,0.246263303,0.271863351,0.49012386
ENSG00000187730,RNA_M12e2.vs.RNA_M12WT,0.389354027,0.309173622,0.529053764
ENSG00000067606,RNA_M12e2.vs.RNA_M12WT,0.051934216,0.68840223,0.827270447
