GeneName,RNA_CDK8i_1,RNA_CDK8i_2,RNA_CDK8i_3,RNA_M12e2_1,RNA_M12e2_2,RNA_M12e2_3,RNA_M12WT_1,RNA_M12WT_2,RNA_M12WT_3,RNA_Veh_1,RNA_Veh_2,RNA_Veh_3
ENSG00000223972,0.561526343,0.45432404,0.382689593,1.532578649,0.918554996,1.030187682,0.446011529,0.498664983,0.495595315,0.518364152,0.429980628,0.45516752
ENSG00000227232,4.964686544,4.509955081,3.993176177,1.875205306,1.778493637,0.855199893,1.3673056,1.634542634,1.350691869,4.663509733,4.356174604,3.70141437
ENSG00000237683,0.984280135,0.580880859,0.631344349,0.51972264,0.317510573,0.1903505,0.280308601,0.600910737,0.312825159,1.073391102,0.567490404,0.560683368
ENSG00000237094,3.588732928,2.645905095,2.690359651,2.339859203,1.626971171,1.848776703,2.063200253,2.122808441,1.911436286,3.33115994,2.369892472,1.981992035
ENSG00000250575,1.517061537,0.482925553,0.887523124,0.301677888,0.464943668,0.087603369,0.180605614,0.184367978,0.397004943,1.367993162,1.048167143,0.860128238
ENSG00000236679,10.40464559,10.68472787,11.5835215,15.72783959,17.45652135,18.70093009,19.95527849,18.49210818,19.7541886,10.35391188,9.805791985,9.757372929
ENSG00000225972,133.7747831,150.2563791,151.4962606,337.70723,388.4826819,364.2333782,332.6478678,284.7211533,279.408483,144.6203309,142.8092348,142.4512827
ENSG00000225630,265.3111796,310.7782053,297.7317036,366.2961652,470.7475367,484.7244605,336.8701239,323.684828,349.7080871,255.4621675,266.2621926,283.7525366
ENSG00000237973,793.1696981,841.22439,788.1474243,937.9355397,1018.872552,973.5824537,981.7326145,1027.302136,980.3696741,786.9133653,740.0135703,748.3202216
ENSG00000229344,722.5871456,699.494562,681.5876111,822.3683947,683.2820326,693.8957525,1063.12793,1115.531561,1107.499514,697.2059167,640.704122,605.5107314
ENSG00000240409,4.168044574,2.649674865,2.656138045,4.33366845,5.936903881,5.41828953,5.585250429,5.517679337,12.97812256,4.245698584,24.94934552,20.20709243
ENSG00000248527,834.8673285,855.7091551,842.3584926,953.8222894,939.1864825,1016.286169,1003.461633,986.349595,998.5021404,764.4622111,775.1805424,765.5896301
ENSG00000198744,433.9275661,471.09167,441.2078372,566.6132853,549.5963952,525.7702765,555.6077484,586.1137223,590.9448442,396.1065466,396.1023679,404.1667901
