GeneName,Low_Cys_Day12_E12,Low_Cys_Day14_E12,High_Cys_Day0_E13,High_Cys_Day3_E13,High_Cys_Day6_E13,High_Cys_Day8_E13,Low_Cys_Day10_E11,Low_Cys_Day12_E11,Low_Cys_Day14_E11,Low_Cys_Day0_E12,Low_Cys_Day3_E12,Low_Cys_Day6_E12,Low_Cys_Day8_E12,Low_Cys_Day3_E9,Low_Cys_Day6_E9,Low_Cys_Day8_E9,Low_Cys_Day10_E9,Low_Cys_Day12_E9,Low_Cys_Day14_E9,Low_Cys_Day0_E11,Low_Cys_Day3_E11,Low_Cys_Day6_E11,Control_Day12_D4,Control_Day14_D4,High_Cys_Day6_E16,High_Cys_Day8_E16,High_Cys_Day10_E16,High_Cys_Day12_E16,High_Cys_Day14_E16,High_Cys_Day3_E14,High_Cys_Day3_E16,High_Cys_Day0_E16,High_Cys_Day14_E14,High_Cys_Day12_E14,High_Cys_Day10_E14,High_Cys_Day6_E14,High_Cys_Day8_E14,High_Cys_Day0_E14,High_Cys_Day14_E13,High_Cys_Day12_E13,High_Cys_Day10_E13,Low_Cys_Day10_E12,Low_Cys_Day8_E11,Low_Cys_Day0_E9,Control_Day10_D4,Control_Day8_D4,Control_Day6_D4,Control_Day3_D4,Control_Day0_D4,Control_Day14_D2,Control_Day12_D2,Control_Day10_D2,Control_Day8_D2,Control_Day6_D2,Control_Day3_D2,Control_Day0_D2,Control_Day14_D1,Control_Day12_D1,Control_Day10_D1,Control_Day8_D1,Control_Day6_D1,Control_Day3_D1,Control_Day0_D1
Mrpl15,-0.12702987,-0.391037426,-0.073749623,0.005126333,0.006845541,-0.074908259,-0.208202359,-0.067587804,-0.168951589,0.225488335,-0.11708223,-0.149235996,-0.251279696,-0.159460825,-0.065561725,-0.027961403,0.004287358,0.121256007,0.14007441,0.07580211,-0.241350579,0.05206935,0.099020946,0.245666779,-0.082058581,-0.105467151,-0.051986958,0.02941043,-0.089107474,-0.113754596,0.262766022,-0.100492368,0.018455474,0.099497522,-0.100133533,-0.143474091,0.001286016,0.025995209,0.106851572,0.14172811,-0.057699686,0.056315145,0.141840475,-0.025250677,0.181069898,0.01446841,-0.139302052,-0.107226969,-0.019996468,0.102748197,0.232347986,-0.006360165,-0.149401968,-0.046453676,0.087205441,-0.101086125,0.053812089,-0.05709334,0.069784805,-0.111809811,-0.175453777,0.073264325,0.086179223
Lypla1,0.269518439,-0.520154205,0.08917051,-2.336525471,-0.181370893,-0.100227448,-0.136573053,-0.037298541,0.474525271,-0.825321469,-1.242998357,-0.421167321,-0.446683126,-0.025872525,-0.231815675,-0.485426827,-0.024746662,NA,-0.160112468,-0.2526126,-0.017175144,-0.129283017,-0.055404796,-0.036063548,-0.230244471,0.161362988,0.499987372,0.111748358,0.524354194,-0.070891513,0.21818017,-0.19940878,0.97924144,-0.010406815,0.356860594,-0.017652018,-0.133593467,-0.494625764,0.387481777,-0.14455079,-0.775568433,0.010477134,-0.259717663,-0.575684687,-0.481763613,-0.114530878,-0.191262524,1.598637438,0.02156951,0.278464446,-0.520154205,-0.158129196,0.030050277,-0.751320887,-0.092737528,-0.903323981,0.058552182,-0.405759686,-0.452190498,-0.15100157,-0.50794008,-0.825321469,-0.473591405
Tcea1,-0.075452228,-0.051879682,0.603290273,0.42423049,-0.159377526,-0.144094487,-0.007857836,-0.095903204,-0.263392439,0.595176314,0.149451377,0.397252627,0.274160151,0.238850207,0.482201299,0.289779261,0.007480821,-0.033808109,-0.51057431,0.530346815,0.33526873,0.427728818,-0.464584773,-0.401760701,0.041734973,0.013035335,-0.234510564,-0.187270628,-0.455301369,0.372842873,0.350410736,0.4018964,-0.291507582,-0.328673506,-0.303590963,0.190541172,-0.178823861,0.38766106,-0.216833967,-0.507102724,-0.263547,0.119340946,0.304641477,0.329275639,-0.421076416,-0.147832591,0.053526741,0.321328097,0.46798936,-0.512000626,-0.435509558,-0.28489384,-0.398931677,0.216155713,0.217048201,0.77963481,-0.281484038,-0.165914388,-0.147390316,-0.043575878,0.095507331,0.364846073,0.681870531
Atp6v1h,0.118447857,0.295426908,-0.640316733,-1.273171465,-0.339860348,0.042130777,-0.008177164,0.308188367,0.237195436,-0.345965864,-0.579424317,-0.088236473,0.007321755,-0.640556653,0.070200176,0.097024454,0.155988876,0.127459429,-0.121023677,-0.442812483,-0.273352313,0.038563028,0.136961712,-0.021788689,-0.065696128,0.108878114,0.168837964,0.6748093,0.71630191,-0.717287263,-0.982191067,-0.564316988,0.990560304,0.355688621,0.227861153,0.040400164,-0.124387724,-0.404137305,0.212798724,0.315066065,0.28449682,0.152879692,-1.144118558,-0.680501196,0.021603373,0.04067063,-0.247042033,-0.334649822,-0.474007143,0.078062394,0.011198712,0.216386785,0.011799935,-0.264961119,-0.936482262,-0.614136914,0.290636935,0.303146913,0.210785842,0.068096815,-0.1568996,-0.595314339,-1.806324057
Rrs1,0.195702189,0.041786053,0.616403923,0.867324136,-0.090846498,-0.081144944,0.370668206,0.311846655,0.109513485,0.504692687,0.295393859,0.340318146,0.167962272,0.238104153,0.392578049,0.144489586,0.098752239,0.156593775,0.284139559,0.704704052,0.47937714,0.267145346,-0.363957286,-0.276704874,0.002078313,-0.156944752,-0.377549078,-0.193793871,-0.461194945,0.529795661,-0.15030711,0.455066778,-0.250861099,-0.230102146,-0.174406419,-0.034936923,-0.104943399,0.596130292,-0.223686809,-0.271912557,-0.605623764,-0.010612435,0.282871618,0.684710008,-0.308712475,-0.429777158,-0.015543742,0.285466626,0.515571436,-0.338708453,-0.342829457,-0.421542796,-0.039528364,-0.189451625,0.621488377,0.458210433,-0.464925054,-0.083397093,-0.336382964,0.041619089,-0.106304229,0.4527704,0.706301421
Cops5,-0.240014043,-0.210784654,0.441877248,0.375065413,0.032802501,-0.011366255,-0.170849603,-0.201788541,-0.237225219,0.567910804,0.365228556,-0.085222126,0.046710729,0.259024865,0.064094037,0.154087411,-0.034770466,-0.398336307,-0.489234299,0.17990909,0.383603263,0.25334535,-0.190197396,-0.551539499,0.092410255,0.194948333,-0.08484134,-0.032715575,-0.166075573,0.19365975,0.02503032,0.336170713,-0.313743252,-0.322867655,-0.144017288,0.189765667,-0.057418818,0.500659088,-0.231733245,-0.148346656,-0.105471012,-0.093619988,0.238914364,0.353416966,-0.018469435,-0.082155823,0.0466795,0.289822617,0.262309876,-0.303367302,-0.322611906,0.016587651,-0.123486282,0.163138717,0.16842047,0.497289662,-0.344467574,-0.262645277,-0.118608747,-0.044081068,0.091235253,0.52779854,0.59553315
Lactb2,0.033876473,0.321013743,-0.330148602,-0.721478215,-0.122224791,-0.253722042,-0.364917661,0.151841347,0.318438171,-1.258104518,-1.134776679,0.077288887,-0.631009868,-0.886906221,0.14698819,-0.331709116,-0.301757838,0.146202386,-0.342554745,-0.447252124,-0.162391329,-0.30016028,-0.062786324,-0.749918317,-0.040381946,0.875155625,0.643352543,0.309658979,0.664004793,-1.456603992,-2.326326559,-0.708355973,0.73188774,0.013589065,0.193264128,-0.037637657,-0.496161725,-0.265205505,0.542709126,0.708483218,0.523715312,-0.329082424,0.397012711,-0.955176228,-0.776058792,0.145403912,-0.565112167,-0.389274403,-0.967432138,-0.269167496,-1.592599867,0.569208429,0.023339126,-1.345040155,-2.745617464,-1.502696319,0.155021285,0.178771101,0.582549967,0.033735638,-0.009735327,-5.131636517,0.358260308
Rpl7,0.719826255,0.850280204,-0.064582956,-1.233929607,-0.370599196,-0.127402625,0.426511386,0.746702746,0.940386715,-0.447021975,-0.566309859,0.019285528,0.208432773,-0.519752948,-0.086828573,0.20479958,0.504304915,0.700475519,0.900403853,-0.30478714,-0.184935823,0.120891165,0.296193093,0.141142484,-0.452484597,0.022691438,0.242176033,0.366780365,0.476510506,-0.776988131,-1.222891333,-0.214438173,0.425410532,0.250483067,0.184715475,-0.550901196,-0.300404979,-0.065032238,0.436009616,0.310683531,0.211461486,0.50016354,-0.343628731,-0.065623892,0.10991627,-0.329666044,-0.439942104,-0.563827722,-0.182747346,0.461767527,0.203414526,0.299117289,-0.039385414,-0.578708898,-1.002176185,-0.319417306,0.567468822,0.585555458,0.248710772,-0.092980329,-0.162738796,-0.856613267,-0.63009683
Eloc,-0.117340718,-0.396113518,0.214733073,0.213328991,0.230673361,0.215200798,0.003505047,-0.226152442,-0.149812144,-0.046781351,0.162421555,0.158378887,-0.035982044,0.343551446,0.013852312,-0.210502839,-0.024730084,-0.039812171,-0.290994846,0.268802107,-0.008911728,0.08631778,-0.028708532,0.034026835,0.088724414,0.014252965,0.069724366,0.063457485,-0.063080257,0.096663308,-0.436712643,0.143956653,-0.215459707,0.053217248,0.189258879,0.054473701,0.240330824,0.092679344,-0.225535143,-0.132755209,-0.005210642,-0.133366539,-0.129992155,0.242073286,0.052862642,0.144479401,0.383201963,0.175734154,-0.037400541,0.055972467,0.086128883,0.190287519,0.252499466,0.117805894,0.030444308,0.042915736,-0.070217092,-0.174109912,0.054879793,0.180629702,-0.013360101,-0.00429742,-0.043056518
Mcm3,-1.236376651,-1.260782988,1.662104933,0.940997748,-0.037262378,-0.689269234,-0.906856282,-1.109702252,-1.642920806,1.569470398,1.244767477,-0.149732499,-0.614297999,1.257427957,-0.243575046,-0.639188501,-0.919248287,-1.199382443,-1.161819453,1.501070628,1.15989006,-0.148054108,-1.249946182,-1.36689782,0.020266876,-0.779815898,-1.035021625,-1.554307213,-1.749803228,1.305733727,0.757729306,1.535512643,-2.03446003,-1.205306001,-0.960513725,0.014764285,-0.459787649,1.779589711,-1.419240708,-1.316804909,-0.942047506,-1.105316578,-0.627144416,1.68644589,-0.954317185,-0.733583268,-0.109995152,1.262366032,1.531415894,-1.167319497,-1.169262455,-1.195665984,-0.550252701,0.075963513,1.285989277,1.687084024,-1.356580495,-1.183127464,-1.165654418,-0.576913427,-0.063699918,1.149121197,1.807221246
Gsta3,-0.105789135,-0.22948957,-0.607065516,-0.196893896,-0.010755696,0.121270065,0.022685106,-0.118876317,-0.381421694,-0.52274874,-0.271581746,0.182044199,0.155220124,-0.246655846,0.14334643,0.118129642,0.061353934,-0.076017523,-0.733338361,-0.566344195,-0.317272473,0.141324753,0.051228283,0.047297487,0.03260031,0.219115807,0.257904008,0.354972921,0.207663184,-0.361373897,0.230706955,-0.445504761,0.324668198,0.105900957,0.177946406,-0.074296445,0.14612421,-0.492523916,0.287933616,0.18882661,0.266013116,0.116867082,0.158671672,-0.672249197,0.203591399,0.186610157,0.024203172,-0.292208667,-0.389225616,-0.04130262,0.207120926,0.143573495,0.025685513,-0.019353143,-0.332568531,-0.564043581,0.0267441,0.262946072,0.09016904,-0.004690926,-0.082320255,-0.323875812,-0.458576995
