"","Lypla1","Vldlr","Lrp8","Lrp6"
"Sample1",4.64368460072997,3.51130859161717,1.14080077432069,6.62005311462128
"Sample2",3.24465372227493,3.02298298475955,1.32151592183867,5.25431070857706
"Sample3",3.56232591536338,3.78484239110849,1.27916144950756,5.70534831675595
"Sample4",7.21224716383021,4.50750097306978,1.11177281164325,5.25044887600037
"Sample5",5.53150986778801,3.21639343374447,1.07553991503493,5.39025261781415
"Sample6",4.44125408491702,3.31926175936733,0.542663885442341,4.81314467971849
"Sample7",6.9944009516186,1.92729170136045,1.07892914688589,4.43741684444241
"Sample8",8.04005930414548,1.53477665030396,0.578231603086981,4.04909790416273
"Sample9",4.12478343007547,2.45687359657242,1.095200965212,6.55654496400404
"Sample10",3.0354586858249,1.98030308436783,1.15265255113793,6.32851609850042
"Sample11",4.46802033419871,1.67215567930502,1.1871139388983,5.3785273296088
