TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3481	IGF2 (insulin like growth factor 2)	4.13951142067233e-06	-12.3949327914216	21	3	0.12	25	16330	11030,3489,3486	RBPMS,IGFBP6,IGFBP3	RBPMS,IGFBP6,IGFBP3
1991	ELANE (elastase, neutrophil expressed)	1.38496185433252e-05	-11.1872528677084	31	3	0.12	25	16330	6590,7039,7057	SLPI,TGFA,THBS1	SLPI,TGFA,THBS1
4680	CEACAM6 (carcinoembryonic antigen related cell adhesion molecule 6)	4.70310759801914e-05	-9.96470198367682	7	2	0.08	25	16330	4680,1048	CEACAM6,CEACAM5	CEACAM6,CEACAM5
3126	HLA-DRB4 (major histocompatibility complex, class II, DR beta 4)	0.000122714802075877	-9.00564757720817	11	2	0.08	25	16330	481,4105	ATP1B1,MAGEA6	ATP1B1,MAGEA6
3479	IGF1 (insulin like growth factor 1)	0.000266487578706532	-8.23018292442572	16	2	0.08	25	16330	3489,3486	IGFBP6,IGFBP3	IGFBP6,IGFBP3
1289	COL5A1 (collagen type V alpha 1 chain)	0.000301735920309653	-8.10595835919239	17	2	0.08	25	16330	7052,7057	TGM2,THBS1	TGM2,THBS1
4052	LTBP1 (latent transforming growth factor beta binding protein 1)	0.000339134479926882	-7.98911383329735	18	2	0.08	25	16330	7052,3486	TGM2,IGFBP3	TGM2,IGFBP3
634	CEACAM1 (carcinoembryonic antigen related cell adhesion molecule 1)	0.000420357718536037	-7.7744044983866	20	2	0.08	25	16330	4680,1048	CEACAM6,CEACAM5	CEACAM6,CEACAM5
354	KLK3 (kallikrein related peptidase 3)	0.000510108349883023	-7.58088740405934	22	2	0.08	25	16330	6590,3486	SLPI,IGFBP3	SLPI,IGFBP3
6678	SPARC (secreted protein acidic and cysteine rich)	0.000558166197024501	-7.49085379579979	23	2	0.08	25	16330	7052,7057	TGM2,THBS1	TGM2,THBS1
3123	HLA-DRB1 (major histocompatibility complex, class II, DR beta 1)	0.000608337628202111	-7.40478052058245	24	2	0.08	25	16330	481,4102	ATP1B1,MAGEA3	ATP1B1,MAGEA3
155971	env (gp160; envelope glycoprotein)	0.000856481068032978	-7.06267834431716	1409	8	0.32	25	16330	7130,6447,2921,6590,7052,5266,7057,1999	TNFAIP6,SCG5,CXCL3,SLPI,TGM2,PI3,THBS1,ELF3	TNFAIP6,SCG5,CXCL3,SLPI,TGM2,PI3,THBS1,ELF3
7114	TMSB4X (thymosin beta 4, X-linked)	0.00115399557236408	-6.76452494767648	33	2	0.08	25	16330	7052,11030	TGM2,RBPMS	TGM2,RBPMS
1511	CTSG (cathepsin G)	0.00137305998802986	-6.5907134619418	36	2	0.08	25	16330	3486,7057	IGFBP3,THBS1	IGFBP3,THBS1
4313	MMP2 (matrix metallopeptidase 2)	0.00152929146384169	-6.48295074636795	38	2	0.08	25	16330	3486,7057	IGFBP3,THBS1	IGFBP3,THBS1
1514	CTSL (cathepsin L)	0.00152929146384169	-6.48295074636795	38	2	0.08	25	16330	6590,3486	SLPI,IGFBP3	SLPI,IGFBP3
284185	LINC00482 (long intergenic non-protein coding RNA 482)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	11030	RBPMS	RBPMS
2542123	mal3 (EB1 family Mal3)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	667	DST	DST
16002	Igf2 (insulin-like growth factor 2)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	3486	IGFBP3	IGFBP3
24516	Jun (Jun proto-oncogene, AP-1 transcription factor subunit)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	1999	ELF3	ELF3
26138	LINC00588 (long intergenic non-protein coding RNA 588)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	11030	RBPMS	RBPMS
155066	ATP6V0E2 (ATPase H+ transporting V0 subunit e2)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	11030	RBPMS	RBPMS
116655	Hnrnpm (heterogeneous nuclear ribonucleoprotein M)	0.00153092467854071	-6.48188336107352	1	1	0.04	25	16330	1048	CEACAM5	CEACAM5
